父亲工作,父亲职业编码,母亲工作,母亲职业编码
中铁六局太原铁路建设公司,国企,鑫智点交通设施有限公司,民企
凯信会议服务有限公司,民企,长城国际旅行社有限责任公司,民企
银光聚银化工有限公司,国企,九亩花田蛋糕店,民企
元拓科技咨询有限公司,民企,中国平安财险股份有限公司,民企
市广播电视大学,国企,市实验中学,事业编
"市经济合作局
",国企,"县住房保障中心
",事业编
区建豪汽修中心,民企,家庭主妇,事业编
区建豪汽修中心,国企,家庭主妇,事业编
陕西省水利水电第三工程局,民企,二十一冶,民企
渭源陇原恒新畜牧科技有限公司,民企,XX路街道诚信社区,民企
市民政局,事业编,矿冶职业技术学院,事业编
北京路九洋菜市场刘伟鲜面店,民企,北京路九洋菜市场刘伟鲜面店,民企
市第一人民医院,国企,公路应急保障与路网监测中心,事业编
市农业农村局,事业编,市委编办,事业编
老姐饺子馆,民企,,国企
大市场清华电动工具,民企,家庭主妇,民企
市统计局,事业编,个体,民企
盛泰房地产公司,国企,家庭主妇,民企
盛泰房地产公司,民企,家庭主妇,民企
县瑞金路锦辉消防工程有限公司,民企,家庭主妇,事业编
市农业综合行政执法队,民企,宏信房地资产评估公司,民企
大禹工程咨询有限公司,国企,纺织路街道办,事业编
市中级人民法院,事业编,农行XXX县支行,国企
家庭父亲,国企,白银区公园路街道办事处,国企
市旅游局,事业编,大自然旅行社,民企
陇风巢浴,民企,凤巢浴足,民企
XXX镇政府,国企,美年大健康有限公司,民企
市团委,事业编,区应急管理局,事业编
万盛体能拓展中心鑫多米便利店,民企,北门流觞烟酒,民企
市公安局,国企,区人民法院,事业编
家庭父母,国企,家庭父母,民企
公安局,国企,市给排水（集团）有限公司,民企
西区管委会,国企,市人社局,事业编
市住建局,民企,市科学技术局,事业编
XXX建设局,事业编,区住建局 ,民企
银中源工贸有限公司,民企,家庭主妇,民企
广东省中海油,国企,家庭主妇,民企
娟红杂粮食府,国企,娟红杂粮食府,事业编
市政管理处,国企,区妇幼保健站,民企
中国兵器工业公司三冶炼,民企,无,民企
万民工程建设有限公司,民企,新疆省和田市个体药店,民企
市公安局,事业编,省第三人民医院,事业编
省监狱局,国企,区人民法院,事业编
家庭主妇,国企,家庭主妇,民企
江苏路之久工程建设有限公司,国企,家庭主妇,民企
市财政局,民企,市教育局,事业编
市财政局,事业编,泰安学校教职工,国企
瑞禾农资,民企,市委统战部,国企
市纪委,国企,市公安局交警支队,国企
市委办,民企,市审计局,国企
第十一中学北侧校园书店,国企,顶新文化公司,民企
长通公司,国企,市育才学校,国企
市住建局,,区融媒体中心,民企
